TrialCount,TrialType,ItiDuration,TactorDuration,TactorDelay,ResponseMaxDuration,StimMovementDuration,RT
1,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,1.01612
2,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.574069
3,Tactile,0.5,0.35,0.325,0.5,2.666667,null
4,Tactile,0.5,0.35,0.325,0.5,2.666667,0.8353558
5,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.225029
6,VisualCatch,0.5,0.35,1.625,0.5,2.666667,null
7,Visual,0.5,0.35,0.65,0.5,2.666667,null
8,Visual,0.5,0.35,0.325,0.5,2.666667,null
9,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.241142
10,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.656345
11,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.7512245
12,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.171082
13,VisualCatch,0.5,0.35,1.95,0.5,2.666667,null
14,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.199688
15,Visual,0.5,0.35,1.625,0.5,2.666667,null
16,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.224644
17,Tactile,0.5,0.35,1.95,0.5,2.666667,2.241467
18,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9882126
19,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.53141
20,VisualCatch,0.5,0.35,0.325,0.5,2.666667,null
21,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.850334
22,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.294144
23,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.960289
24,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.5700378
25,VisualCatch,0.5,0.35,1.3,0.5,2.666667,null
26,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9325562
27,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9464111
28,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.5839615
29,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9325256
30,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9327774
31,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.545021
32,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.6260376
33,VisualCatch,0.5,0.35,0.325,0.5,2.666667,null
34,Tactile,0.5,0.35,0.65,0.5,2.666667,0.9329681
35,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.253059
36,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.893326
37,VisualCatch,0.5,0.35,0.65,0.5,2.666667,null
38,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.838181
39,VisualCatch,0.5,0.35,0.975,0.5,2.666667,null
40,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.212967
41,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.21315
42,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.865463
43,Visual,0.5,0.35,0.65,0.5,2.666667,null
44,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.5984955
45,Tactile,0.5,0.35,0.975,0.5,2.666667,1.4478
46,Tactile,0.5,0.35,1.95,0.5,2.666667,2.241669
47,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.266693
48,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,null
49,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.545731
50,Tactile,0.5,0.35,1.625,0.5,2.666667,1.90741
51,Visual,0.5,0.35,0.975,0.5,2.666667,null
52,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.5567627
53,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.198975
54,Tactile,0.5,0.35,1.95,0.5,2.666667,2.366379
55,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.640274
56,Tactile,0.5,0.35,1.95,0.5,2.666667,2.478683
57,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.851715
58,Tactile,0.5,0.35,1.95,0.5,2.666667,2.297028
59,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.6124573
60,Tactile,0.5,0.35,0.65,0.5,2.666667,0.9325562
61,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.850983
62,VisualCatch,0.5,0.35,0.325,0.5,2.666667,null
63,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.879242
64,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.573303
65,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.238678
66,Tactile,0.5,0.35,1.3,0.5,2.666667,1.615097
67,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.199341
