TrialCount	TrialType	ItiDuration	TactorDuration	TactorDelay	ResponseMaxDuration	StimMovementDuration	RT
1	Tactile	0.5	0.35	0.325	0.5	2.666667	null
2	Visual	0.5	0.35	0.65	0.5	2.666667	2.603236
3	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.587498
4	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.640543
5	Visual	0.5	0.35	0.65	0.5	2.666667	null
6	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.336552
7	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.572845
8	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.268543
9	Visual	0.5	0.35	1.3	0.5	2.666667	null
10	VisualCatch	0.5	0.35	0.65	0.5	2.666667	null
11	Tactile	0.5	0.35	0.325	0.5	2.666667	1.002926
12	VisualCatch	0.5	0.35	1.95	0.5	2.666667	null
13	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.61467
14	Tactile	0.5	0.35	0.975	0.5	2.666667	1.586895
15	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.920807
16	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6268158
17	VisualCatch	0.5	0.35	0.325	0.5	2.666667	null
18	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.671257
19	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.267067
20	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.531006
21	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.001839
22	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.336288
23	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.252655
24	Tactile	0.5	0.35	0.325	0.5	2.666667	0.8779221
25	Tactile	0.5	0.35	0.65	0.5	2.666667	1.08577
26	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.974762
27	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.932579
28	Tactile	0.5	0.35	0.325	0.5	2.666667	0.7239838
29	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.240799
30	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.5448
31	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.851051
32	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9743118
33	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.158348
34	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.946228
35	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.865128
36	VisualCatch	0.5	0.35	0.325	0.5	2.666667	null
37	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.530922
38	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.336205
39	Visual	0.5	0.35	0.65	0.5	2.666667	null
40	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.213547
41	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.294968
42	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.18512
43	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.587616
44	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.879425
45	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.878723
46	Visual	0.5	0.35	0.65	0.5	2.666667	null
47	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.864914
48	Tactile	0.5	0.35	0.975	0.5	2.666667	1.503372
49	VisualCatch	0.5	0.35	0.325	0.5	2.666667	null
50	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6531677
51	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6404419
52	Tactile	0.5	0.35	1.3	0.5	2.666667	1.712296
53	VisualCatch	0.5	0.35	1.3	0.5	2.666667	null
54	VisualCatch	0.5	0.35	1.625	0.5	2.666667	null
55	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6117706
56	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.573105
57	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.559113
58	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6127472
59	Tactile	0.5	0.35	1.3	0.5	2.666667	1.824051
60	Tactile	0.5	0.35	0.325	0.5	2.666667	0.6126862
61	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.280594
62	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.252579
63	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9043884
64	Tactile	0.5	0.35	1.95	0.5	2.666667	2.380295
65	Tactile	0.5	0.35	1.625	0.5	2.666667	2.143951
66	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.336029
67	Tactile	0.5	0.35	0.65	0.5	2.666667	0.975174
68	VisualCatch	0.5	0.35	0.975	0.5	2.666667	null
69	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6825867
70	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.227371
71	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9880981
72	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.5976563
73	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.893646
74	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.241531
75	Tactile	0.5	0.35	0.65	0.5	2.666667	1.197266
76	VisuoTactile	0.5	0.35	0.325	0.5	0	null
77	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.269379
78	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.7930908
79	Visual	0.5	0.35	1.625	0.5	2.666667	null
80	Tactile	0.5	0.35	1.95	0.5	2.666667	2.268829
81	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.254944
82	Visual	0.5	0.35	1.3	0.5	2.666667	null
83	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.600586
84	Visual	0.5	0.35	0.325	0.5	2.666667	null
85	VisualCatch	0.5	0.35	1.625	0.5	2.666667	null
86	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.294739
87	Visual	0.5	0.35	1.3	0.5	2.666667	null
88	Visual	0.5	0.35	1.95	0.5	2.666667	null
89	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.879333
90	Tactile	0.5	0.35	0.325	0.5	2.666667	0.7799988
91	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.893158
92	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	1.558746
93	VisualCatch	0.5	0.35	1.95	0.5	2.666667	null
94	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.878815
95	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.586823
96	Tactile	0.5	0.35	1.625	0.5	2.666667	2.088409
97	VisualCatch	0.5	0.35	0.325	0.5	2.666667	null
98	Tactile	0.5	0.35	0.325	0.5	2.666667	0.7377625
99	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.24118
100	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.614838
101	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.87912
102	Visual	0.5	0.35	1.95	0.5	2.666667	null
103	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.072083
104	VisualCatch	0.5	0.35	0.975	0.5	2.666667	null
105	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.558655
106	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.199554
107	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.157196
108	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.615143
109	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.851654
110	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.8347168
111	Tactile	0.5	0.35	1.625	0.5	2.666667	1.990662
112	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.935028
113	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.7239075
114	Tactile	0.5	0.35	1.625	0.5	2.666667	2.10257
115	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.238739
116	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9743652
